start_time,end_time,start_time_iso,end_time_iso,input_tokens,output_tokens,num_model_requests,project_id,user_id,api_key_id,model,batch,service_tier,input_cached_tokens,input_uncached_tokens,input_audio_tokens,output_audio_tokens
1748995200,1749081600,2025-06-04T00:00:00+00:00,2025-06-05T00:00:00+00:00,261076.0,3750.0,11.0,proj_qBLEJleU9G2KjNQCBvemjfRh,user-OlZQUc6Y5MgcvnKspPcdmEVR,key_xwlow5PiKpYw0trz,ft:gpt-4.1-nano-2025-04-14:raiffs-bits:codette-v9:BecpyuPE:ckpt-step-1824,,default,241424.0,19652.0,0.0,0.0
1749081600,1749168000,2025-06-05T00:00:00+00:00,2025-06-06T00:00:00+00:00,,,,,,,,,,,,,
1749168000,1749254400,2025-06-06T00:00:00+00:00,2025-06-07T00:00:00+00:00,,,,,,,,,,,,,
1749254400,1749340800,2025-06-07T00:00:00+00:00,2025-06-08T00:00:00+00:00,,,,,,,,,,,,,
1749340800,1749427200,2025-06-08T00:00:00+00:00,2025-06-09T00:00:00+00:00,19.0,18.0,1.0,proj_qBLEJleU9G2KjNQCBvemjfRh,user-OlZQUc6Y5MgcvnKspPcdmEVR,key_xwlow5PiKpYw0trz,ft:gpt-4o-2024-08-06:raiffs-bits:codriao:BJiF0LKA:ckpt-step-80,,default,0.0,19.0,0.0,0.0
1749427200,1749513600,2025-06-09T00:00:00+00:00,2025-06-10T00:00:00+00:00,,,,,,,,,,,,,
1749513600,1749600000,2025-06-10T00:00:00+00:00,2025-06-11T00:00:00+00:00,,,,,,,,,,,,,
1749600000,1749686400,2025-06-11T00:00:00+00:00,2025-06-12T00:00:00+00:00,,,,,,,,,,,,,
1749686400,1749772800,2025-06-12T00:00:00+00:00,2025-06-13T00:00:00+00:00,,,,,,,,,,,,,
1749772800,1749859200,2025-06-13T00:00:00+00:00,2025-06-14T00:00:00+00:00,,,,,,,,,,,,,
1749859200,1749945600,2025-06-14T00:00:00+00:00,2025-06-15T00:00:00+00:00,545939.0,6988.0,66.0,proj_qBLEJleU9G2KjNQCBvemjfRh,user-OlZQUc6Y5MgcvnKspPcdmEVR,key_n9stoI2GQSJlPdJE,ft:gpt-4.1-nano-2025-04-14:raiffs-bits:codette-v9:BecpyuPE:ckpt-step-1824,,default,516480.0,29459.0,0.0,0.0
1749859200,1749945600,2025-06-14T00:00:00+00:00,2025-06-15T00:00:00+00:00,8292.0,88.0,2.0,proj_qBLEJleU9G2KjNQCBvemjfRh,user-OlZQUc6Y5MgcvnKspPcdmEVR,key_n9stoI2GQSJlPdJE,ft:gpt-4.1-2025-04-14:raiffs-bits:codette-v9:BWgspamw,,default,3968.0,4324.0,0.0,0.0
1749945600,1750031999,2025-06-15T00:00:00+00:00,2025-06-15T23:59:59+00:00,904610.0,34270.0,74.0,proj_qBLEJleU9G2KjNQCBvemjfRh,user-OlZQUc6Y5MgcvnKspPcdmEVR,key_n9stoI2GQSJlPdJE,ft:gpt-4.1-2025-04-14:raiffs-bits:codette-v9:BWgspFHr:ckpt-step-456,,default,404352.0,500258.0,0.0,0.0
1749945600,1750031999,2025-06-15T00:00:00+00:00,2025-06-15T23:59:59+00:00,3638.0,91.0,1.0,proj_qBLEJleU9G2KjNQCBvemjfRh,user-OlZQUc6Y5MgcvnKspPcdmEVR,key_n9stoI2GQSJlPdJE,ft:gpt-4.1-nano-2025-04-14:raiffs-bits:codette-v9:BecpyuPE:ckpt-step-1824,,default,3200.0,438.0,0.0,0.0
